AE_Gujarat_2012																																													
Assembly_No	Year	month	DelimID	Poll_No	District_Name	Sub_Region	Constituency_Name	Constituency_No	Constituency_Type	Candidate	Sex	Age	Party	Position	Candidate_Type	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Margin	Margin_Percentage	Turnout_Percentage	N_Cand	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	No_Terms	Turncoat	Incumbent	Recontest	Deposit_Lost	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second	TCPD_Prof_Second_Desc	Election_Type
12	2012	12	4	0	Surat	South Gujarat	VARACHHA ROAD	161	GEN	GAJERA DHIRUBHAI HARIBHAI	M	59	INC	2	GEN	48170	185467	127385	37.81	39280	30.84	68.68	5	2.33	TRUE	5	INC	3482	SURAT CITY NORTH	FALSE	TRUE	3	FALSE	FALSE	TRUE	no	AEGJ11384	National Party	3482	8th Pass	Retired or Pension				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	KARANJ	162	GEN	KACHHADIYA JANAKBHAI MANJIBHAI	M	44	BJP	1	GEN	65696	144162	93169	70.51	49439	53.06	64.63	5	1.85	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14239	National Party	1605	12th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	KARANJ	162	GEN	ZALAVADIYA JAYSUKHBHAI DEVCHANDBHAI	M	40	INC	2	GEN	16257	144162	93169	17.45	6602	7.09	64.63	5	1.85	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14240	National Party	3482	10th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	LIMBAYAT	163	GEN	PATIL SANGITABEN RAJENDRABHAI	F	37	BJP	1	GEN	79744	224288	150268	53.07	30321	20.18	67	20	2.56	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14252	National Party	1605	8th Pass	Business				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	LIMBAYAT	163	GEN	SONVANE SURESH MOHAN	M	53	INC	2	GEN	49423	224288	150268	32.89	43493	28.94	67	20	2.56	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14261	National Party	3482	10th Pass	Business				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	UDHNA	164	GEN	NAROTTAMBHAI PATEL	M	76	BJP	1	GEN	74946	205649	129445	57.9	32754	25.3	62.94	8	2.22	TRUE	7	BJP	1605	CHORASI	FALSE	TRUE	6	FALSE	TRUE	TRUE	no	AEGJ2754	National Party	1605	Graduate Professional	Social Work	NGO			State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	UDHNA	164	GEN	RAJPUT DHANSUKHBHAI BHAGWATIPRASAD	M	53	INC	2	GEN	42192	205649	129445	32.59	36347	28.08	62.94	8	2.22	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14268	National Party	3482	12th Pass	Other				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	MAJURA	165	GEN	SANGHVI HARSH RAMESHKUMAR	M	27	BJP	1	GEN	103577	219889	140715	73.61	71556	50.85	63.99	7	1.69	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14273	National Party	1605	8th Pass	Other				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	MAJURA	165	GEN	JAIN DHANPATRAJ LALCHAND	M	51	INC	2	GEN	32021	219889	140715	22.76	30736	21.84	63.99	7	1.69	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14271	National Party	3482	8th Pass	Other				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	KATARGAM	166	GEN	VANANI NANUBHAI BHAGWANBHAI (NANUBHAI PATEL)	M	56	BJP	1	GEN	88604	241336	165854	53.42	43272	26.09	68.72	9	2.56	TRUE	3	BJP	1605	SURAT CITY NORTH	FALSE	TRUE	2	FALSE	TRUE	TRUE	no	AEGJ7550	National Party	1605	5th Pass	Retired or Pension				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	KATARGAM	166	GEN	PANDAV NANDLAL KALABHAI	M	57	INC	2	GEN	45332	241336	165854	27.33	16711	10.08	68.72	9	2.56	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14278	National Party	3482	5th Pass	Business		Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	SURAT WEST	167	GEN	KISHORBHAI RATILAL VANKAWALA	M	67	BJP	1	GEN	99099	196643	133337	74.32	69731	52.3	67.81	6	1.67	FALSE	2	BJP	1605	SURAT CITY WEST	FALSE	TRUE	2	FALSE	TRUE	TRUE	no	AEGJ12671	National Party	1605	12th Pass	Social Work				State Assembly Election (AE)
