AE_Gujarat_2017																																						
Year	Assembly_No	District_Name	Sub_Region	Name	Type	Number	Candidate	Sex	Age	Party	Position	No_Terms	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Turnout_Percentage	Margin	Margin_Percentage	No of candidates	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	Turncoat	Incumbent	Recontest	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	KOCHARA JAGDISHBHAI KANJIBHAI	M	45	BSP	7	0	1466	229493	156170	0.94	68.05	467	0.3	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ495	State-based Party (Other State)	16651	Graduate Professional	Business		
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	SHEIKH MUSTAFA NURSHA	M	42	JD(U)	8	0	999	229493	156170	0.64	68.05	55	0.04	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ582	State-based Party (Other State)	11002	5th Pass	Business	Contractor	
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	HUSSEN ALIMAMAD KHARA	M	27	IND	9	0	944	229493	156170	0.6	68.05	595	0.38	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ820	Independents	10809	8th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	MALSATTAR DHANJI SHIVJI	M	71	IND	10	0	349	229493	156170	0.22	68.05	32	0.02	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ683	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	JADEJA JAYENDRASINH BALWANTSINH	M	32	IND	11	0	317	229493	156170	0.2	68.05	31	0.02	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ635	Independents	10809	8th Pass	Business	Transport	Salaried Work or Employed
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	DATANIYA MULJI REVA	M	56	IND	12	0	286	229493	156170	0.18	68.05	48	0.03	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ681	Independents	10809	Illiterate	Labourer or Daily Wage		
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	CHAUHAN VIRAL PREMJI	M	29	IND	13	0	238	229493	156170	0.15	68.05	0	0	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ620	Independents	10809	10th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	MAHESHWARI MALTI KISHOR	F	28	BJP	1	1	79713	277693	151448	52.63	54.54	20270	13.38	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ669	National Party	1605	Graduate	Other	Household	
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	KISHOR GANGJIBHAI PINGOL	M	37	INC	2	0	59443	277693	151448	39.25	54.54	55865	36.89	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ677	National Party	3482	10th Pass	Business	Real Estate or Builder or Developer or Construction	Agriculture
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	None of the Above			NOTA	3		3578	277693	151448	2.36	54.54	1613	1.07	14	2.33	TRUE											NOTA	5897				
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	BHANJIBHAI MYAJARBHAI DUNGARIYA	M	47	BMUP	4	0	1965	277693	151448	1.3	54.54	732	0.48	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ1029	Local Party	1074	10th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	BHARYA JUMABHAI SAVALI	M	60	BSP	5	0	1233	277693	151448	0.81	54.54	132	0.09	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ832	State-based Party (Other State)	16651	Literate	Other		
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	DANICHA GOVINDBHAI PUNAMCHAND	M	49	AAAP	6	0	1101	277693	151448	0.73	54.54	14	0.01	14	2.33	TRUE	2	BSP	16651	MUNDRA	FALSE	FALSE	TRUE	FALSE	FALSE	AEGJ888	State-based Party (Other State)	13				
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	SONDARVA BALUBEN MAHESHBHAI	F	45	IND	7	0	1087	277693	151448	0.72	54.54	50	0.03	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ1184	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	VAGHELA SOMABHAI RUPABHAI	M	36	IND	8	0	1037	277693	151448	0.68	54.54	476	0.31	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ1182	Independents	10809	8th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	RAJESH LADHABHAI CHAVDA	M	40	IND	9	0	561	277693	151448	0.37	54.54	125	0.08	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ1178	Independents	10809	5th Pass	Labourer or Daily Wage	Mechanic	
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	RAMESH MAVABHAI SOLANKI	M	41	IND	10	0	436	277693	151448	0.29	54.54	65	0.04	14	2.33	TRUE	2	IJP	3430	RAPAR	FALSE	FALSE	FALSE	FALSE	FALSE	AEGJ1175	Independents	10809	Literate	Other		
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	ADVOCATE GOVIND DAFDA	M	35	IND	11	0	371	277693	151448	0.24	54.54	40	0.03	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ1130	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	BHARAT UMAR MARU	M	35	IND	12	0	331	277693	151448	0.22	54.54	112	0.07	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ1132	Independents	10809	Graduate	Small Business or Self-employed		
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	VANKAR RAMESHBHAI MAGABHAI	M	42	AINHCP	13	0	219	277693	151448	0.14	54.54	23	0.02	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ101226	Local Party	662	10th Pass	Business	Private Company	
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	BALIYA LALJIBHAI KARABHAI	M	43	ASAPA	14	0	196	277693	151448	0.13	54.54	19	0.01	14	2.33	TRUE	2	SP	7425	GANDHIDHAM	TRUE	FALSE	TRUE	FALSE	TRUE	AEGJ101227	Local Party	47	Literate	Labourer or Daily Wage		
2017	13	Kachchh	Saurashtra-Kutch	GANDHIDHAM	SC	5	VANJARA HIRABEN DALPATBHAI	F	47	RKSP	15	0	177	277693	151448	0.12	54.54	0	0	14	2.33	TRUE	1						FALSE	FALSE	FALSE	AEGJ1084	Local Party	12157	5th Pass	Other	Household	
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	AARETHIYA SANTOKBEN BHACHUBHAI	F	52	INC	1	1	63814	216390	130112	49.05	60.13	15209	11.69	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1827	National Party	3482	Illiterate	Business		
